city,lat,long,deaths,event,executors
Hamburg,53.55,10.00,32000,air-firebomb,RAF/USAAF
Elberfeld,51.25,7.14,1900,air-firebomb,RAF
Marl,51.64,7.08,180,air-firebomb,USAAF
Ruhr Dams,51.43,6.88,1592,air-firebomb,RAF
Kiel,54.32,10.13,250,air-firebomb,USAAF
Dortmund,51.51,7.46,690,air-firebomb,RAF
Aachen,50.77,6.08,0,air-firebomb,RAF
Frankfurt aM,50.05,8.56,958,air-firebomb,RAF
London,51.50,-0.12,430,air-firebomb,LUFTW
Liverpool,53.40,-2.99,1785,air-firebomb,LUFTW
Bristol,51.45,-2.59,657,air-firebomb,LUFTW
Cardiff,51.48,-3.17,355,air-firebomb,LUFTW
Hull,53.74,-0.33,1200,air-firebomb,LUFTW
Portsmouth,50.80,-1.07,40000,air-firebomb,LUFTW
Plymouth,50.37,-4.14,368,air-firebomb,LUFTW
Southampton,50.90,-1.40,630,air-firebomb,LUFTW
Swansea,51.61,-3.94,227,air-firebomb,LUFTW
Birmingham,52.47,-1.90,1936,air-firebomb,LUFTW
Belfast,54.59,-5.93,1243,air-firebomb,LUFTW
Coventry,52.40,-1.51,467,air-firebomb,LUFTW
Glasgow,55.86,-4.24,528,air-firebomb,LUFTW
Manchester,53.47,-2.24,684,air-firebomb,LUFTW
Himeji,34.83,134.69,514,air-firebomb,USAAF
Fukui,35.92,136.60,1088,air-firebomb,USAAF
Tsuruga,35.92,136.60,109,air-firebomb,USAAF
Utsunomiya,36.55,139.88,628,air-firebomb,USAAF
Sendai,38.26,140.86,828,air-firebomb,USAAF
Tsu,34.73,136.51,820,air-firebomb,USAAF
Okazaki,34.95,137.26,137,air-firebomb,USAAF
Choshi,35.73,140.82,791,air-firebomb,USAAF
Osaka,34.66,135.49,9229,air-firebomb,USAAF
Matsuyama,33.83,132.76,259,air-firebomb,USAAF
Chiba,35.54,140.26,1241,air-firebomb,USAAF
Gifu,35.78,137.04,675,air-firebomb,USAAF
Sakai,34.52,135.50,1380,air-firebomb,USAAF
Wakayama,33.80,135.59,900,air-firebomb,USAAF
Kofu,35.66,138.57,714,air-firebomb,USAAF
Tokushima,33.91,134.25,129,air-firebomb,USAAF
Takamatsu,34.34,134.04,1359,air-firebomb,USAAF
Shimonoseki,33.95,130.94,324,air-firebomb,USAAF
Kure,34.24,132.56,2350,air-firebomb,USAAF
Kumamoto,32.64,130.63,469,air-firebomb,USAAF
Okayama,34.85,133.77,1737,air-firebomb,USAAF
Sasebo,33.16 ,129.71,1300,air-firebomb,USAAF
Kakamigahara,35.39,136.84,169,air-firebomb,USAAF
Mizushima,35.73,136.04,11,air-firebomb,USAAF
Nagoya,35.18,136.89,12212,air-firebomb,USAAF
Toyohashi,34.76,137.39,624,air-firebomb,USAAF
Shizuoka,34.93,138.09,1952,air-firebomb,USAAF
Fukuoka,33.62,130.61,902,air-firebomb,USAAF
Yokkaichi,34.96,136.62,736,air-firebomb,USAAF
Hamamatsu,34.71,137.72,1720,air-firebomb,USAAF
Kagoshima,31.52,130.54,5100,air-firebomb,USAAF
Yokohama,35.44,139.63,3787,air-firebomb,USAAF
Nara,34.29,135.88,231,air-firebomb,
Nagasaki,33.11,129.78,70000,air-nuclear,USAAF
Hiroshima,34.39,132.45,128000,air-nuclear,USAAF
Kobe,34.69,135.19,6875,air-firebomb,USAAF
Tokyo,35.68,139.75,97713,air-firebomb,USAAF
